id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,City Hunter,Manga,35,1985,1991,https://myanimelist.net/manga/792/City_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/5/272237.jpg?s=91027a075fc64be41ed3f44b0186cc64,,,,
,Keijo!!!!!!!!,Manga,18,2013,2017,https://myanimelist.net/manga/56505/Keijo,https://cdn.myanimelist.net/r/100x140/images/manga/3/168393.jpg?s=630ab39042bfd9b95226a974cb5920b3,,,,
,Rain,Manga,,2008,,https://myanimelist.net/manga/17237/Rain,https://cdn.myanimelist.net/r/100x140/images/manga/3/25899.jpg?s=fc5341a8b225edc266780a138e24db97,,,,
,Hidari no Futari,One-shot,,,,https://myanimelist.net/manga/26610/Hidari_no_Futari,https://cdn.myanimelist.net/r/100x140/images/manga/3/42789.jpg?s=491ea73ed1f10bba3610c7b74ef277af,,,,
,Odd Girl Out,Manhwa,,2015,,https://myanimelist.net/manga/119521/Odd_Girl_Out,https://cdn.myanimelist.net/r/100x140/images/manga/2/222276.jpg?s=bef6998d7e636de5d833d0be680b4118,,,,
,Watashi no Fushidara,Manga,2,2015,2016,https://myanimelist.net/manga/106646/Watashi_no_Fushidara,https://cdn.myanimelist.net/r/100x140/images/manga/2/195205.jpg?s=bf37e6541ed445b79ac486401226e59d,,,,
,Uchuu Senkan Yamato,Manga,3,1974,1979,https://myanimelist.net/manga/33333/Uchuu_Senkan_Yamato,https://cdn.myanimelist.net/r/100x140/images/manga/1/284283.jpg?s=18071abe2d33c7585485a9f90a743049,,,,
,Ruru Chouchou,One-shot,,2012,2012,https://myanimelist.net/manga/47807/Ruru_Chouchou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111251.jpg?s=4273abac7c8a2e943c9d13243b6b5a17,,,,
,Confession,Manga,1,1998,1998,https://myanimelist.net/manga/1541/Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/13085.jpg?s=285e4f27a7be4d0d43cf08e44c5dc109,,,,
,Ibara no Namida,Manga,1,2011,2011,https://myanimelist.net/manga/33841/Ibara_no_Namida,https://cdn.myanimelist.net/r/100x140/images/manga/1/61707.jpg?s=e3ab7f88a18db79595cd8ca87ca04c43,,,,
,Inuyashiki,Manga,10,2014,2017,https://myanimelist.net/manga/64465/Inuyashiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/156353.jpg?s=ded4aa7026a2a2a078ee791cb0e31fea,,,,
,Kiratto!☆Yell,One-shot,,,,https://myanimelist.net/manga/47633/Kiratto☆Yell,https://cdn.myanimelist.net/r/100x140/images/manga/1/112061.jpg?s=50f25cbf63aa256edeaebe6a766afcac,,,,
,The Girl's Winter,Manhwa,,,,https://myanimelist.net/manga/3898/The_Girls_Winter,https://cdn.myanimelist.net/r/100x140/images/manga/1/4464.jpg?s=f5c43cc9c2742dca40bf0baa2d658091,,,,
,Hinamizawa Teiryuujo: Higurashi no Naku Koro ni Genten,Manga,1,2011,2012,https://myanimelist.net/manga/30139/Hinamizawa_Teiryuujo__Higurashi_no_Naku_Koro_ni_Genten,https://cdn.myanimelist.net/r/100x140/images/manga/1/176843.jpg?s=5a4a82706455a162bea471909d89e674,,,,
,Mookhyang: Dark Lady,Manhwa,,2019,,https://myanimelist.net/manga/129808/Mookhyang__Dark_Lady,https://cdn.myanimelist.net/r/100x140/images/manga/3/236954.jpg?s=9b5c44089bed67c546039905a04b091c,,,,
,Bride,Manhwa,,,,0,https://cdn.myanimelist.net/r/100x140/images/manga/3/97207.jpg?s=9b333ce9d899774126f8c8a7464b22d1,,,,
,I Was the Male Lead's Ex,Manhwa,,2021,2023,https://myanimelist.net/manga/148205/I_Was_the_Male_Leads_Ex,https://cdn.myanimelist.net/r/100x140/images/manga/3/263001.jpg?s=b8091ad66b7e6e21a170111db2f3bba7,,,,
,Jinrui wo Metsubou sasete wa Ikemasen,Manga,4,2020,2022,https://myanimelist.net/manga/131703/Jinrui_wo_Metsubou_sasete_wa_Ikemasen,https://cdn.myanimelist.net/r/100x140/images/manga/1/244404.jpg?s=a02c3aa6b2fca61eb5b0d2fee2b93698,,,,
,Crepuscule,Manhwa,,2011,2016,https://myanimelist.net/manga/45771/Crepuscule,https://cdn.myanimelist.net/r/100x140/images/manga/3/189103.jpg?s=5498f32f61227379c6477233e4f002ae,,,,
,Mononoke: Umibouzu,Manga,2,2013,2014,https://myanimelist.net/manga/88229/Mononoke__Umibouzu,https://cdn.myanimelist.net/r/100x140/images/manga/3/155676.jpg?s=8d200163e6476ebde4f0f468844b8e82,,,,
,Tensura Nikki: Tensei shitara Slime Datta Ken,Manga,,2018,,https://myanimelist.net/manga/117179/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,https://cdn.myanimelist.net/r/100x140/images/manga/1/220263.jpg?s=826d1a2dae56cf4787208f2b0a678c3b,,,,
